train_label, mse, rmse, mae, r2
LinearRegression_0,9.99620,3.16168,2.23983,0.88975
LinearRegression_1,7.20043,2.68336,1.95804,0.91637
LinearRegression_2,9.21744,3.03602,2.14834,0.89687
LinearRegression_3,7.57260,2.75184,1.98977,0.91614
LinearRegression_4,8.39697,2.89775,2.01440,0.91453
LinearRegression_5,8.89719,2.98282,2.08722,0.90598
LinearRegression_6,8.03385,2.83441,1.97009,0.90637
LinearRegression_7,8.01246,2.83063,2.01429,0.91024
LinearRegression_8,9.54777,3.08995,2.16678,0.90307
LinearRegression_9,6.59813,2.56868,1.80825,0.93130
LinearRegression_10,10.66991,3.26648,2.32625,0.89413
LinearRegression_11,8.53157,2.92088,2.13079,0.90480
LinearRegression_12,8.39703,2.89776,2.01731,0.91548
LinearRegression_13,7.18818,2.68108,1.91157,0.91718
LinearRegression_14,7.61800,2.76007,1.99054,0.92298
LinearRegression_15,8.70059,2.94968,2.09070,0.90170
LinearRegression_16,6.86686,2.62047,1.89330,0.92522
LinearRegression_17,8.79311,2.96532,2.12334,0.90814
LinearRegression_18,8.57032,2.92751,2.08619,0.90983
LinearRegression_19,8.72394,2.95363,2.03139,0.90589
LinearRegression_20,9.36279,3.05987,2.14346,0.90150
LinearRegression_21,8.76907,2.96126,2.05521,0.91384
LinearRegression_22,8.69859,2.94934,2.01724,0.90825
LinearRegression_23,9.26414,3.04371,2.16968,0.90286
LinearRegression_24,9.99487,3.16147,2.19142,0.89477
LinearRegression_25,9.73798,3.12057,2.15380,0.89541
LinearRegression_26,9.57632,3.09456,2.17235,0.89901
LinearRegression_27,8.35895,2.89119,2.02528,0.91034
LinearRegression_28,7.69700,2.77435,1.96525,0.91217
LinearRegression_29,10.06096,3.17190,2.25681,0.88684
LinearRegression_30,8.58505,2.93003,2.01504,0.91016
LinearRegression_31,9.55081,3.09044,2.07991,0.89894
LinearRegression_32,8.19574,2.86282,2.00598,0.91401
LinearRegression_33,7.74612,2.78319,1.99253,0.92020
LinearRegression_34,10.60334,3.25628,2.22914,0.89609
LinearRegression_35,8.06862,2.84053,1.95564,0.91933
LinearRegression_36,7.63238,2.76268,1.93044,0.92075
LinearRegression_37,7.19629,2.68259,1.84611,0.92146
LinearRegression_38,7.92480,2.81510,1.95588,0.91515
LinearRegression_39,8.57920,2.92903,2.03944,0.90779
LinearRegression_40,8.13249,2.85175,2.07881,0.90783
