train_label, mse, rmse, mae, r2
SVR_10,21.97423,4.68767,3.34486,0.76142
SVR_11,29.26533,5.40974,3.85166,0.69323
SVR_12,24.26254,4.92570,3.52034,0.73533
SVR_13,26.23426,5.12194,3.80016,0.75101
SVR_14,29.17056,5.40098,3.82324,0.68980
SVR_15,25.07374,5.00737,3.52511,0.71314
SVR_16,22.57092,4.75089,3.32615,0.72821
SVR_17,31.80357,5.63947,3.89338,0.69855
SVR_18,24.85759,4.98574,3.54948,0.74490
SVR_19,22.07475,4.69838,3.51825,0.74477
SVR_20,27.44349,5.23865,3.74982,0.69491
SVR_21,30.70050,5.54080,3.96793,0.69724
SVR_22,31.68792,5.62920,3.98695,0.70369
SVR_23,28.44890,5.33375,3.74413,0.71094
SVR_24,31.13407,5.57979,3.82039,0.68041
SVR_25,28.42569,5.33157,3.72136,0.69937
SVR_26,21.57999,4.64543,3.43433,0.74503
SVR_27,28.43900,5.33282,3.82852,0.68927
SVR_28,34.15701,5.84440,4.22766,0.68168
SVR_29,33.05853,5.74965,4.09994,0.66809
SVR_30,28.36091,5.32550,3.75903,0.69791
SVR_31,22.26526,4.71861,3.42927,0.75221
SVR_32,29.05333,5.39011,3.86727,0.71434
SVR_33,32.23226,5.67735,4.20134,0.67837
SVR_34,26.25686,5.12415,3.63450,0.73510
SVR_35,27.17918,5.21337,3.82526,0.71435
SVR_36,27.96639,5.28833,3.72852,0.70921
SVR_37,24.59236,4.95907,3.59660,0.74704
SVR_38,27.12658,5.20832,3.68906,0.71829
SVR_39,30.30687,5.50517,3.91648,0.70393
SVR_40,27.89644,5.28171,3.77489,0.70235
SVR_41,28.36075,5.32548,3.90398,0.70350
SVR_42,23.75828,4.87425,3.49464,0.74497
SVR_43,27.36883,5.23152,3.72560,0.70931
SVR_44,35.91632,5.99302,4.19165,0.65381
SVR_45,30.92145,5.56071,3.95086,0.66724
SVR_46,31.71304,5.63143,4.08178,0.68497
SVR_47,25.77263,5.07668,3.74467,0.71977
SVR_48,23.51844,4.84958,3.51173,0.72929
SVR_49,25.03666,5.00366,3.72347,0.73165
