train_label, mse, rmse, mae, r2
SVR_10,20.15137,4.48903,3.12110,0.77951
SVR_11,23.12814,4.80917,3.39229,0.73319
SVR_12,14.41488,3.79669,2.83757,0.81702
SVR_13,27.00394,5.19653,3.71627,0.72565
SVR_14,24.18222,4.91754,3.58227,0.72629
SVR_15,28.32715,5.32233,3.84396,0.71967
SVR_16,23.36477,4.83371,3.60248,0.74922
SVR_17,25.27393,5.02732,3.63169,0.72660
SVR_18,28.85385,5.37158,3.72785,0.71380
SVR_19,24.39762,4.93939,3.39013,0.72517
SVR_20,20.43026,4.51998,3.19869,0.76734
SVR_21,25.28282,5.02820,3.70121,0.73374
SVR_22,24.43532,4.94321,3.56498,0.74328
SVR_23,25.12676,5.01266,3.66267,0.74351
SVR_24,25.55025,5.05473,3.62230,0.73565
SVR_25,23.79511,4.87802,3.53260,0.74679
SVR_26,16.60156,4.07450,2.85639,0.80381
SVR_27,25.22860,5.02281,3.48511,0.74068
SVR_28,21.69807,4.65812,3.36025,0.76548
SVR_29,18.55844,4.30795,3.23502,0.78311
SVR_30,20.33039,4.50892,3.19914,0.75782
SVR_31,34.02266,5.83289,4.16710,0.65538
SVR_32,25.99866,5.09889,3.51319,0.72487
SVR_33,22.89138,4.78449,3.43270,0.75850
SVR_34,20.06437,4.47933,3.25829,0.76226
SVR_35,24.58701,4.95853,3.56850,0.73640
SVR_36,22.77018,4.77181,3.48503,0.75589
SVR_37,24.30035,4.92954,3.42914,0.75603
SVR_38,31.32185,5.59659,3.91945,0.68008
SVR_39,25.11708,5.01169,3.60170,0.74155
SVR_40,29.13146,5.39736,3.87079,0.70949
SVR_41,30.74059,5.54442,3.90983,0.69485
SVR_42,20.60420,4.53919,3.26432,0.76852
SVR_43,19.72974,4.44182,3.21952,0.76921
SVR_44,20.03304,4.47583,3.25789,0.77274
SVR_45,24.31536,4.93106,3.46724,0.74063
SVR_46,23.99791,4.89877,3.43977,0.74823
SVR_47,18.37609,4.28673,3.15626,0.78141
SVR_48,20.72623,4.55261,3.37715,0.77810
SVR_49,22.62298,4.75636,3.35648,0.73726
SVR_50,30.19645,5.49513,3.94780,0.70265
SVR_51,18.82889,4.33923,3.15707,0.77426
SVR_52,31.70263,5.63051,4.09621,0.68489
SVR_53,27.42090,5.23650,3.77853,0.71754
SVR_54,24.71266,4.97118,3.58316,0.73491
SVR_55,35.99054,5.99921,4.29496,0.67196
SVR_56,20.00738,4.47296,3.13347,0.77975
SVR_57,25.04219,5.00422,3.62340,0.72754
SVR_58,26.61551,5.15902,3.67561,0.71822
SVR_59,24.51403,4.95116,3.51662,0.73820
SVR_60,27.99759,5.29128,3.59474,0.72343
SVR_61,26.91029,5.18751,3.79596,0.72969
SVR_62,22.83238,4.77832,3.43171,0.75565
SVR_63,27.59858,5.25343,3.68576,0.71124
SVR_64,22.62638,4.75672,3.44395,0.75926
SVR_65,26.65959,5.16329,3.55797,0.71029
SVR_66,28.19161,5.30958,3.85447,0.71021
SVR_67,19.14270,4.37524,3.28315,0.79131
SVR_68,29.41944,5.42397,3.86567,0.69996
SVR_69,29.26757,5.40995,3.81249,0.71954
SVR_70,24.20470,4.91983,3.50456,0.74371
SVR_71,27.71544,5.26455,3.66720,0.70459
SVR_72,28.11791,5.30263,3.71678,0.72159
SVR_73,23.02473,4.79841,3.31826,0.74712
SVR_74,27.26114,5.22122,3.67587,0.72861
SVR_75,19.61411,4.42878,3.29378,0.76871
SVR_76,26.93133,5.18954,3.76579,0.71486
SVR_77,21.69468,4.65775,3.42053,0.76584
SVR_78,22.17235,4.70875,3.30931,0.76504
SVR_79,24.34575,4.93414,3.58042,0.74654
SVR_80,33.86852,5.81967,4.24175,0.66237
SVR_81,20.71692,4.55158,3.37143,0.77180
SVR_82,23.42199,4.83963,3.48848,0.75366
SVR_83,22.63110,4.75722,3.45366,0.75084
SVR_84,24.68982,4.96889,3.42318,0.73464
SVR_85,30.22303,5.49755,3.86367,0.70872
SVR_86,20.64847,4.54406,3.23925,0.76328
SVR_87,25.09901,5.00989,3.56155,0.74924
SVR_88,26.72119,5.16925,3.49606,0.71967
SVR_89,32.11428,5.66695,4.11338,0.65961
SVR_90,25.21872,5.02182,3.53877,0.74407
SVR_91,26.13552,5.11229,3.68753,0.71121
SVR_92,20.09870,4.48316,3.20473,0.77209
SVR_93,25.33895,5.03378,3.58984,0.73996
SVR_94,26.72554,5.16968,3.69062,0.72625
SVR_95,26.83927,5.18066,3.68056,0.72938
SVR_96,23.37693,4.83497,3.39563,0.73825
SVR_97,23.31168,4.82822,3.52635,0.74537
SVR_98,21.58748,4.64623,3.29702,0.75987
SVR_99,31.37487,5.60133,3.86541,0.68212
GaussianProcessRegressor_0,0.66970,0.81835,0.52907,0.99261
GaussianProcessRegressor_1,3.73355,1.93224,0.74076,0.96332
GaussianProcessRegressor_2,1.07492,1.03678,0.62426,0.98879
GaussianProcessRegressor_3,1.07423,1.03645,0.61271,0.98735
GaussianProcessRegressor_4,0.53759,0.73321,0.51368,0.99449
GaussianProcessRegressor_5,0.45222,0.67247,0.45611,0.99550
GaussianProcessRegressor_6,0.42379,0.65099,0.46370,0.99523
GaussianProcessRegressor_7,0.70824,0.84157,0.55552,0.99118
GaussianProcessRegressor_8,2.22720,1.49238,0.64746,0.97339
GaussianProcessRegressor_9,0.91867,0.95847,0.56221,0.99010
GaussianProcessRegressor_10,2.68446,1.63843,0.74792,0.97046
GaussianProcessRegressor_11,0.84630,0.91994,0.61570,0.98996
GaussianProcessRegressor_12,1.88604,1.37333,0.67050,0.97550
GaussianProcessRegressor_13,0.38344,0.61922,0.44086,0.99604
GaussianProcessRegressor_14,0.67518,0.82169,0.49286,0.99223
GaussianProcessRegressor_15,1.72086,1.31182,0.58683,0.98272
GaussianProcessRegressor_16,2.26046,1.50348,0.65368,0.97367
GaussianProcessRegressor_17,0.60619,0.77858,0.52205,0.99334
GaussianProcessRegressor_18,0.36576,0.60478,0.43862,0.99633
GaussianProcessRegressor_19,1.94356,1.39412,0.72547,0.97781
GaussianProcessRegressor_20,0.42845,0.65456,0.45815,0.99506
GaussianProcessRegressor_21,0.65770,0.81099,0.55745,0.99306
GaussianProcessRegressor_22,0.35383,0.59483,0.41409,0.99617
GaussianProcessRegressor_23,0.44869,0.66984,0.46438,0.99537
GaussianProcessRegressor_24,0.59072,0.76859,0.53429,0.99376
GaussianProcessRegressor_25,1.44431,1.20179,0.65328,0.98455
GaussianProcessRegressor_26,2.09233,1.44649,0.71188,0.97478
GaussianProcessRegressor_27,0.52560,0.72498,0.48795,0.99451
GaussianProcessRegressor_28,0.73866,0.85946,0.54958,0.99188
GaussianProcessRegressor_29,1.16229,1.07809,0.61716,0.98607
GaussianProcessRegressor_30,0.72042,0.84877,0.55104,0.99118
GaussianProcessRegressor_31,0.88165,0.93896,0.60962,0.99095
GaussianProcessRegressor_32,0.43728,0.66127,0.46947,0.99535
GaussianProcessRegressor_33,0.87938,0.93775,0.56873,0.99059
GaussianProcessRegressor_34,0.71226,0.84396,0.57635,0.99139
GaussianProcessRegressor_35,0.81719,0.90399,0.54966,0.99090
GaussianProcessRegressor_36,0.51922,0.72057,0.45170,0.99441
GaussianProcessRegressor_37,0.41713,0.64585,0.45314,0.99576
GaussianProcessRegressor_38,0.51095,0.71481,0.48495,0.99461
GaussianProcessRegressor_39,0.48660,0.69757,0.46165,0.99492
GaussianProcessRegressor_40,0.67334,0.82057,0.50378,0.99321
GaussianProcessRegressor_41,0.71960,0.84829,0.55323,0.99268
GaussianProcessRegressor_42,1.04250,1.02103,0.58955,0.98771
GaussianProcessRegressor_43,0.74934,0.86565,0.55107,0.99092
GaussianProcessRegressor_44,0.43418,0.65892,0.44792,0.99504
GaussianProcessRegressor_45,1.08426,1.04128,0.65319,0.98842
GaussianProcessRegressor_46,0.47727,0.69084,0.50284,0.99474
GaussianProcessRegressor_47,0.57525,0.75845,0.49795,0.99307
GaussianProcessRegressor_48,1.36632,1.16890,0.60710,0.98520
GaussianProcessRegressor_49,1.14638,1.07069,0.57456,0.98662
GaussianProcessRegressor_50,1.02583,1.01283,0.63721,0.98972
GaussianProcessRegressor_51,0.49232,0.70166,0.45936,0.99396
GaussianProcessRegressor_52,2.76950,1.66418,0.78399,0.97199
GaussianProcessRegressor_53,0.54220,0.73634,0.50642,0.99432
GaussianProcessRegressor_54,1.78455,1.33587,0.67338,0.98049
GaussianProcessRegressor_55,0.94584,0.97255,0.56671,0.99138
GaussianProcessRegressor_56,0.56000,0.74833,0.47230,0.99373
GaussianProcessRegressor_57,0.52966,0.72778,0.49626,0.99410
GaussianProcessRegressor_58,0.50128,0.70801,0.49839,0.99452
GaussianProcessRegressor_59,0.54828,0.74046,0.52300,0.99400
GaussianProcessRegressor_60,0.59656,0.77237,0.50839,0.99403
GaussianProcessRegressor_61,0.48622,0.69729,0.48674,0.99500
GaussianProcessRegressor_62,0.45791,0.67669,0.47604,0.99504
GaussianProcessRegressor_63,0.48672,0.69765,0.49355,0.99484
GaussianProcessRegressor_64,0.44439,0.66663,0.44876,0.99522
GaussianProcessRegressor_65,0.46793,0.68405,0.48294,0.99487
GaussianProcessRegressor_66,0.82317,0.90729,0.58085,0.99155
GaussianProcessRegressor_67,0.63158,0.79472,0.52423,0.99294
GaussianProcessRegressor_68,0.68181,0.82572,0.48897,0.99288
GaussianProcessRegressor_69,0.50319,0.70936,0.47102,0.99513
GaussianProcessRegressor_70,0.83659,0.91465,0.62786,0.99096
GaussianProcessRegressor_71,1.24120,1.11409,0.57033,0.98656
GaussianProcessRegressor_72,1.14825,1.07157,0.56717,0.98850
GaussianProcessRegressor_73,0.43431,0.65902,0.47006,0.99520
GaussianProcessRegressor_74,0.30902,0.55589,0.41572,0.99682
GaussianProcessRegressor_75,0.53111,0.72877,0.51964,0.99355
GaussianProcessRegressor_76,0.54498,0.73823,0.50697,0.99413
GaussianProcessRegressor_77,1.39895,1.18277,0.61305,0.98458
GaussianProcessRegressor_78,0.70653,0.84055,0.51928,0.99219
GaussianProcessRegressor_79,2.39811,1.54858,0.75142,0.97488
GaussianProcessRegressor_80,0.53379,0.73061,0.50944,0.99461
GaussianProcessRegressor_81,0.72578,0.85193,0.54952,0.99200
GaussianProcessRegressor_82,0.54455,0.73793,0.48545,0.99424
GaussianProcessRegressor_83,0.49109,0.70077,0.46044,0.99453
GaussianProcessRegressor_84,0.38921,0.62387,0.45097,0.99571
GaussianProcessRegressor_85,2.58695,1.60840,0.68191,0.97460
GaussianProcessRegressor_86,1.09440,1.04614,0.58812,0.98726
GaussianProcessRegressor_87,0.66848,0.81761,0.52720,0.99308
GaussianProcessRegressor_88,0.82173,0.90650,0.54405,0.99116
GaussianProcessRegressor_89,0.56460,0.75140,0.49415,0.99391
GaussianProcessRegressor_90,0.36883,0.60731,0.44354,0.99619
GaussianProcessRegressor_91,0.76235,0.87313,0.52659,0.99138
GaussianProcessRegressor_92,0.76035,0.87198,0.54799,0.99123
GaussianProcessRegressor_93,1.10036,1.04898,0.61734,0.98867
GaussianProcessRegressor_94,0.42001,0.64808,0.45445,0.99562
GaussianProcessRegressor_95,2.20473,1.48483,0.76129,0.97709
GaussianProcessRegressor_96,0.32827,0.57295,0.42488,0.99629
GaussianProcessRegressor_97,0.68761,0.82922,0.55505,0.99230
GaussianProcessRegressor_98,0.63118,0.79447,0.51828,0.99284
GaussianProcessRegressor_99,0.38256,0.61852,0.41766,0.99604
MLPRegressor_0,13.25015,3.64008,2.82510,0.85470
MLPRegressor_1,29.22078,5.40562,3.99963,0.72120
MLPRegressor_2,19.48576,4.41427,3.47334,0.79968
MLPRegressor_3,12.80010,3.57772,2.87737,0.85172
MLPRegressor_4,21.08236,4.59155,3.61660,0.78728
MLPRegressor_5,13.26376,3.64195,2.74376,0.86884
