train_label, mse, rmse, mae, r2
SVR_10,29.41449,5.42351,3.72141,0.70063
SVR_11,27.73786,5.26667,3.89431,0.70547
SVR_12,33.45846,5.78433,4.12727,0.70061
SVR_13,27.88342,5.28048,3.72439,0.69055
SVR_14,32.16797,5.67168,4.06494,0.67063
SVR_15,32.87654,5.73381,4.16567,0.67456
SVR_16,30.24287,5.49935,3.88199,0.68167
SVR_17,29.57946,5.43870,3.98525,0.70025
SVR_18,28.33322,5.32290,3.82770,0.69345
SVR_19,24.99849,4.99985,3.41663,0.72331
SVR_20,35.85350,5.98778,4.28639,0.63702
SVR_21,22.65012,4.75921,3.33852,0.72052
SVR_22,29.45318,5.42708,3.85864,0.69118
SVR_23,26.63539,5.16095,3.79249,0.71448
SVR_24,28.00647,5.29211,3.75892,0.70637
SVR_25,21.79938,4.66898,3.35927,0.75814
SVR_26,24.63631,4.96350,3.65397,0.72415
SVR_27,20.10371,4.48372,3.25968,0.76891
SVR_28,37.74199,6.14345,4.40108,0.63533
SVR_29,29.47271,5.42888,3.91228,0.69961
SVR_30,25.14852,5.01483,3.55133,0.72837
SVR_31,25.23346,5.02329,3.54498,0.72417
SVR_32,27.58349,5.25200,3.84432,0.70498
SVR_33,23.85236,4.88389,3.40526,0.73237
SVR_34,24.68523,4.96842,3.52194,0.73213
SVR_35,37.07461,6.08889,4.27267,0.65991
SVR_36,29.73058,5.45258,3.99635,0.70458
SVR_37,24.41613,4.94127,3.61475,0.73251
SVR_38,25.15905,5.01588,3.58434,0.71815
SVR_39,29.97125,5.47460,3.75585,0.67796
SVR_40,27.76107,5.26888,3.75542,0.69314
SVR_41,31.25105,5.59026,4.05827,0.67912
SVR_42,28.13505,5.30425,3.67181,0.69389
SVR_43,30.42769,5.51613,3.82692,0.68870
SVR_44,28.84744,5.37098,3.91935,0.70450
SVR_45,26.36408,5.13460,3.67663,0.70951
SVR_46,27.51266,5.24525,3.68504,0.72809
SVR_47,25.43990,5.04380,3.49402,0.71451
