train_label, mse, rmse, mae, r2
GaussianProcessRegressor_23,1.68912,1.29966,0.72941,0.97951
GaussianProcessRegressor_24,1.87985,1.37108,0.81522,0.97971
GaussianProcessRegressor_25,1.84202,1.35721,0.77115,0.97860
GaussianProcessRegressor_26,2.52075,1.58769,0.83910,0.97419
GaussianProcessRegressor_27,2.13449,1.46099,0.81943,0.97634
GaussianProcessRegressor_28,1.90147,1.37894,0.78090,0.97667
GaussianProcessRegressor_29,2.66310,1.63190,0.92537,0.97159
GaussianProcessRegressor_30,2.05566,1.43376,0.81059,0.97664
GaussianProcessRegressor_31,2.14317,1.46396,0.80882,0.97580
GaussianProcessRegressor_32,1.49708,1.22355,0.66378,0.98268
GaussianProcessRegressor_33,1.94113,1.39324,0.83000,0.97682
GaussianProcessRegressor_34,2.20725,1.48568,0.85762,0.97597
GaussianProcessRegressor_35,1.76873,1.32993,0.71664,0.98004
GaussianProcessRegressor_36,2.08540,1.44409,0.79709,0.97651
GaussianProcessRegressor_37,1.56287,1.25015,0.73858,0.98084
GaussianProcessRegressor_38,1.29607,1.13845,0.70475,0.98462
GaussianProcessRegressor_39,2.02377,1.42259,0.79989,0.97525
GaussianProcessRegressor_40,1.93730,1.39187,0.81406,0.97691
GaussianProcessRegressor_41,2.37543,1.54124,0.84597,0.97380
GaussianProcessRegressor_42,1.83555,1.35483,0.72606,0.97916
GaussianProcessRegressor_43,2.35350,1.53411,0.91795,0.97551
GaussianProcessRegressor_44,2.05743,1.43437,0.82592,0.97660
GaussianProcessRegressor_45,2.07315,1.43984,0.84873,0.97743
GaussianProcessRegressor_46,2.13670,1.46175,0.83374,0.97481
GaussianProcessRegressor_47,2.64458,1.62622,0.88167,0.97120
GaussianProcessRegressor_48,2.41561,1.55422,0.87913,0.97225
GaussianProcessRegressor_49,1.53299,1.23814,0.71346,0.98226
GaussianProcessRegressor_50,2.65695,1.63001,0.88035,0.97092
GaussianProcessRegressor_51,1.66446,1.29014,0.71995,0.98186
GaussianProcessRegressor_52,2.00911,1.41743,0.82364,0.97791
GaussianProcessRegressor_53,1.95271,1.39739,0.80495,0.97870
GaussianProcessRegressor_54,2.19846,1.48272,0.81988,0.97413
GaussianProcessRegressor_55,1.44787,1.20328,0.70345,0.98388
GaussianProcessRegressor_56,1.95654,1.39876,0.75511,0.97618
GaussianProcessRegressor_57,2.44506,1.56367,0.91590,0.97230
GaussianProcessRegressor_58,2.08682,1.44458,0.81415,0.97678
GaussianProcessRegressor_59,1.57943,1.25675,0.73148,0.98065
GaussianProcessRegressor_60,1.41822,1.19089,0.69584,0.98178
GaussianProcessRegressor_61,2.12412,1.45744,0.80748,0.97635
GaussianProcessRegressor_62,2.61295,1.61646,0.88805,0.97345
GaussianProcessRegressor_63,2.53513,1.59221,0.87701,0.97472
