train_label, mse, rmse, mae, r2
LinearRegression_0,8.42273,2.90219,2.17185,0.89430
LinearRegression_1,9.22161,3.03671,2.22613,0.89146
LinearRegression_2,9.73609,3.12027,2.27077,0.90247
LinearRegression_3,9.11262,3.01871,2.17676,0.89662
LinearRegression_4,9.10767,3.01789,2.19128,0.89170
LinearRegression_5,9.05730,3.00953,2.15606,0.90712
LinearRegression_6,9.51584,3.08478,2.32982,0.89955
LinearRegression_7,7.26917,2.69614,1.94555,0.91513
LinearRegression_8,10.39583,3.22426,2.33127,0.89948
LinearRegression_9,9.58043,3.09523,2.28933,0.89918
LinearRegression_10,9.24140,3.03997,2.18531,0.89696
LinearRegression_11,8.21272,2.86578,2.10048,0.91471
LinearRegression_12,8.72441,2.95371,2.10780,0.90857
LinearRegression_13,8.73098,2.95482,2.23544,0.90550
LinearRegression_14,9.13124,3.02179,2.15737,0.90539
LinearRegression_15,9.82648,3.13472,2.23098,0.89930
LinearRegression_16,9.27669,3.04577,2.19130,0.89645
LinearRegression_17,9.14344,3.02381,2.17139,0.90034
LinearRegression_18,9.09703,3.01613,2.15976,0.89917
LinearRegression_19,7.58332,2.75378,2.02858,0.92179
LinearRegression_20,8.76345,2.96031,2.13888,0.90823
LinearRegression_21,9.39994,3.06593,2.28900,0.87656
LinearRegression_22,9.74856,3.12227,2.34285,0.88939
LinearRegression_23,8.14213,2.85344,2.14299,0.90373
LinearRegression_24,7.62609,2.76154,1.95926,0.92119
LinearRegression_25,9.83623,3.13628,2.31053,0.89204
LinearRegression_26,10.93001,3.30606,2.42390,0.88371
LinearRegression_27,8.23155,2.86907,2.06245,0.91270
LinearRegression_28,8.12780,2.85093,2.00460,0.91859
LinearRegression_29,9.59330,3.09731,2.19936,0.90074
LinearRegression_30,9.14830,3.02462,2.28876,0.90225
LinearRegression_31,9.07592,3.01263,2.24348,0.89278
LinearRegression_32,9.17031,3.02825,2.24878,0.90745
LinearRegression_33,9.02843,3.00474,2.23680,0.90521
LinearRegression_34,7.46330,2.73190,2.01014,0.91687
LinearRegression_35,9.07918,3.01317,2.21796,0.89897
LinearRegression_36,7.23313,2.68945,1.90664,0.92005
LinearRegression_37,8.06473,2.83985,2.01399,0.90801
LinearRegression_38,10.50922,3.24179,2.36297,0.88972
LinearRegression_39,7.52193,2.74261,1.99429,0.91603
LinearRegression_40,8.59332,2.93144,2.05835,0.91342
LinearRegression_41,11.21550,3.34896,2.41913,0.88464
LinearRegression_42,8.57210,2.92782,2.16735,0.89666
LinearRegression_43,8.02167,2.83226,2.11555,0.91645
LinearRegression_44,8.96343,2.99390,2.18741,0.91234
LinearRegression_45,7.16034,2.67588,1.97484,0.91937
LinearRegression_46,11.17878,3.34347,2.48640,0.89377
LinearRegression_47,8.47661,2.91146,2.14717,0.89914
LinearRegression_48,9.25715,3.04256,2.28532,0.90094
LinearRegression_49,7.96643,2.82249,2.01840,0.91993
LinearRegression_50,7.50653,2.73980,1.95178,0.91423
