train_label, mse, rmse, mae, r2
SVR_10,25.39278,5.03912,3.49951,0.74715
SVR_11,25.18179,5.01815,3.37750,0.73176
SVR_12,21.16299,4.60033,3.21939,0.77205
SVR_13,29.67976,5.44791,3.80938,0.69557
SVR_14,26.27672,5.12608,3.75440,0.73685
SVR_15,23.33014,4.83013,3.43083,0.75183
SVR_16,26.09748,5.10857,3.67053,0.73170
SVR_17,17.55511,4.18988,3.05408,0.78969
SVR_18,25.49838,5.04959,3.62286,0.74574
SVR_19,21.01081,4.58375,3.36540,0.77159
SVR_20,28.42759,5.33175,3.75284,0.72335
SVR_21,21.03933,4.58686,3.19226,0.75637
SVR_22,26.56505,5.15413,3.69696,0.73592
SVR_23,21.35852,4.62153,3.54774,0.77249
SVR_24,22.16659,4.70814,3.49012,0.77467
SVR_25,24.72597,4.97252,3.50797,0.74654
SVR_26,30.77357,5.54739,3.94665,0.68965
SVR_27,25.96035,5.09513,3.67941,0.72634
SVR_28,28.02020,5.29341,3.84434,0.71382
SVR_29,24.58941,4.95877,3.53345,0.72904
SVR_30,31.08035,5.57498,3.96444,0.69781
SVR_31,22.69622,4.76405,3.32929,0.74118
SVR_32,19.58332,4.42530,3.14210,0.78294
SVR_33,22.97888,4.79363,3.43664,0.74554
SVR_34,25.57252,5.05693,3.57734,0.72178
SVR_35,16.44177,4.05485,2.94971,0.80527
SVR_36,22.13204,4.70447,3.32741,0.75181
SVR_37,21.61122,4.64879,3.40585,0.75835
SVR_38,25.02567,5.00257,3.56883,0.73339
SVR_39,30.32442,5.50676,3.86249,0.70850
SVR_40,24.11691,4.91090,3.56040,0.74138
SVR_41,17.35584,4.16603,3.09776,0.78803
SVR_42,21.18512,4.60273,3.24389,0.75665
SVR_43,23.36923,4.83417,3.53888,0.74928
SVR_44,25.56271,5.05596,3.56038,0.73931
SVR_45,25.04141,5.00414,3.58670,0.73154
SVR_46,26.52157,5.14991,3.64090,0.74210
SVR_47,22.07728,4.69865,3.57775,0.76657
SVR_48,21.92366,4.68227,3.40521,0.77066
SVR_49,21.85903,4.67536,3.32792,0.75615
SVR_50,29.72272,5.45185,3.86118,0.71322
