train_label, mse, rmse, mae, r2
LinearRegression_0,9.28077,3.04644,2.22588,0.89045
LinearRegression_1,10.75254,3.27911,2.36545,0.88111
LinearRegression_2,8.58835,2.93059,2.14406,0.90609
LinearRegression_3,8.86434,2.97730,2.10095,0.90335
LinearRegression_4,11.42980,3.38080,2.37608,0.88580
LinearRegression_5,10.43778,3.23076,2.40401,0.88034
LinearRegression_6,11.28844,3.35983,2.33536,0.89255
LinearRegression_7,11.22503,3.35038,2.36793,0.88746
LinearRegression_8,10.19203,3.19250,2.24997,0.89163
LinearRegression_9,8.07665,2.84194,2.10721,0.91003
LinearRegression_10,11.93502,3.45471,2.48746,0.88829
LinearRegression_11,9.73333,3.11983,2.20110,0.90287
LinearRegression_12,11.02922,3.32103,2.43868,0.86922
LinearRegression_13,10.63350,3.26090,2.33195,0.89093
LinearRegression_14,9.65896,3.10789,2.21892,0.89704
LinearRegression_15,8.76651,2.96083,2.13181,0.90041
LinearRegression_16,9.99440,3.16139,2.28752,0.89624
LinearRegression_17,8.81137,2.96839,2.13669,0.89771
LinearRegression_18,9.08792,3.01462,2.11973,0.90566
LinearRegression_19,10.69111,3.26973,2.35987,0.88541
LinearRegression_20,10.37480,3.22099,2.40871,0.88060
LinearRegression_21,9.64261,3.10526,2.15320,0.90441
LinearRegression_22,8.87181,2.97856,2.20539,0.90926
LinearRegression_23,7.26245,2.69489,1.98326,0.91584
LinearRegression_24,9.49020,3.08062,2.21384,0.90107
LinearRegression_25,9.25759,3.04263,2.19607,0.89320
LinearRegression_26,12.79286,3.57671,2.57826,0.86996
LinearRegression_27,10.49683,3.23988,2.42725,0.89467
LinearRegression_28,10.89576,3.30087,2.39534,0.88022
LinearRegression_29,9.85210,3.13881,2.37053,0.88780
LinearRegression_30,9.16802,3.02787,2.18841,0.90252
LinearRegression_31,9.80970,3.13204,2.28717,0.89543
LinearRegression_32,8.93347,2.98889,2.14267,0.90729
LinearRegression_33,11.99535,3.46343,2.52717,0.87574
LinearRegression_34,10.33494,3.21480,2.37270,0.88819
LinearRegression_35,9.69697,3.11400,2.25679,0.89662
LinearRegression_36,10.14177,3.18461,2.31625,0.89742
LinearRegression_37,9.77889,3.12712,2.30772,0.88915
LinearRegression_38,8.93704,2.98949,2.16587,0.89754
LinearRegression_39,9.26669,3.04412,2.23085,0.89265
LinearRegression_40,11.23886,3.35244,2.40235,0.89133
LinearRegression_41,9.19419,3.03219,2.19572,0.90075
LinearRegression_42,7.69202,2.77345,1.94431,0.91826
LinearRegression_43,10.02869,3.16681,2.28560,0.89237
LinearRegression_44,9.91794,3.14928,2.23433,0.89869
LinearRegression_45,9.14767,3.02451,2.17593,0.90617
LinearRegression_46,9.52239,3.08584,2.25266,0.89916
LinearRegression_47,9.17508,3.02904,2.26308,0.89414
LinearRegression_48,10.65374,3.26401,2.34733,0.88722
LinearRegression_49,11.29606,3.36096,2.40461,0.88700
LinearRegression_50,9.71829,3.11742,2.18903,0.90748
LinearRegression_51,9.13848,3.02299,2.18783,0.90505
LinearRegression_52,9.16420,3.02724,2.14497,0.90014
LinearRegression_53,10.38948,3.22327,2.34368,0.88975
LinearRegression_54,12.40118,3.52153,2.56989,0.87702
LinearRegression_55,9.65006,3.10646,2.23470,0.88766
LinearRegression_56,10.61113,3.25747,2.31048,0.89666
LinearRegression_57,10.77995,3.28328,2.35769,0.89258
LinearRegression_58,11.22348,3.35015,2.35305,0.88808
LinearRegression_59,9.25348,3.04195,2.21350,0.90724
LinearRegression_60,12.98514,3.60349,2.58074,0.86793
LinearRegression_61,10.03784,3.16826,2.19853,0.90260
LinearRegression_62,10.06504,3.17255,2.31554,0.89406
LinearRegression_63,10.69698,3.27062,2.33582,0.89108
LinearRegression_64,10.49727,3.23995,2.34223,0.89011
LinearRegression_65,10.40584,3.22581,2.36432,0.90054
LinearRegression_66,9.26392,3.04367,2.24299,0.89076
LinearRegression_67,9.90514,3.14724,2.27668,0.90312
LinearRegression_68,11.67455,3.41680,2.49665,0.89112
LinearRegression_69,9.89070,3.14495,2.27682,0.89764
LinearRegression_70,9.40840,3.06731,2.25406,0.89679
LinearRegression_71,9.64997,3.10644,2.26470,0.89788
LinearRegression_72,11.07723,3.32825,2.39989,0.88428
LinearRegression_73,11.47104,3.38689,2.28190,0.87917
LinearRegression_74,9.35283,3.05824,2.26820,0.90491
LinearRegression_75,9.02954,3.00492,2.17506,0.90851
LinearRegression_76,12.11881,3.48121,2.56777,0.86789
LinearRegression_77,11.41922,3.37923,2.43552,0.89385
LinearRegression_78,10.71978,3.27411,2.31735,0.89288
LinearRegression_79,10.28969,3.20776,2.22516,0.89849
LinearRegression_80,8.53878,2.92212,2.19593,0.90872
LinearRegression_81,9.60976,3.09996,2.26145,0.90000
LinearRegression_82,8.27526,2.87668,2.06020,0.91263
LinearRegression_83,11.65629,3.41413,2.45895,0.87979
LinearRegression_84,10.10201,3.17837,2.23659,0.89063
LinearRegression_85,9.73596,3.12025,2.30422,0.88601
LinearRegression_86,10.16386,3.18808,2.37085,0.88590
LinearRegression_87,9.47461,3.07809,2.22682,0.89416
LinearRegression_88,7.95437,2.82035,2.02928,0.91775
LinearRegression_89,9.86787,3.14132,2.31224,0.90418
LinearRegression_90,10.37969,3.22175,2.33005,0.88559
LinearRegression_91,9.12521,3.02080,2.18187,0.90632
LinearRegression_92,10.31930,3.21237,2.26715,0.89784
LinearRegression_93,10.88038,3.29854,2.28513,0.89208
LinearRegression_94,10.01960,3.16537,2.28738,0.88702
LinearRegression_95,10.15083,3.18604,2.28933,0.89661
LinearRegression_96,11.56113,3.40017,2.45557,0.88813
LinearRegression_97,10.13362,3.18333,2.31234,0.88835
LinearRegression_98,10.33781,3.21525,2.25503,0.89388
LinearRegression_99,11.20572,3.34749,2.41272,0.87758
SVR_0,23.09629,4.80586,3.51934,0.73137
SVR_1,28.98981,5.38422,3.83094,0.68335
SVR_2,21.48946,4.63567,3.30762,0.76667
SVR_3,24.80965,4.98093,3.57745,0.73082
SVR_4,30.73451,5.54387,3.86746,0.69453
SVR_5,28.06896,5.29801,3.85332,0.68144
SVR_6,37.35954,6.11225,4.38949,0.64862
SVR_7,34.24830,5.85221,4.17061,0.66108
SVR_8,26.81022,5.17786,3.70516,0.71606
SVR_9,22.31397,4.72377,3.33947,0.75517
SVR_10,35.59066,5.96579,4.15039,0.66831
SVR_11,29.42575,5.42455,3.73990,0.70874
SVR_12,23.43753,4.84123,3.43655,0.72450
SVR_13,30.80529,5.55025,3.80219,0.68689
SVR_14,29.17009,5.40093,3.86818,0.69295
SVR_15,22.95435,4.79107,3.42423,0.74045
SVR_16,28.26003,5.31602,3.74125,0.70824
SVR_17,19.42225,4.40707,3.18631,0.77741
SVR_18,25.66638,5.06620,3.66103,0.73566
SVR_19,27.87829,5.27999,3.78713,0.70413
SVR_20,23.70833,4.86912,3.50256,0.72884
SVR_21,28.02414,5.29378,3.88779,0.72575
SVR_22,26.62976,5.16040,3.78816,0.73268
SVR_23,19.78053,4.44753,3.32126,0.77323
SVR_24,27.86975,5.27918,3.80069,0.71201
SVR_25,22.01839,4.69238,3.33513,0.74778
SVR_26,34.65439,5.88680,4.26044,0.65053
SVR_27,28.36697,5.32607,3.81951,0.71846
SVR_28,28.41999,5.33104,3.88535,0.69074
SVR_29,24.04313,4.90338,3.36300,0.72709
SVR_30,26.02354,5.10133,3.75684,0.72531
SVR_31,29.15026,5.39910,3.98852,0.69141
SVR_32,27.62800,5.25623,3.85661,0.71657
SVR_33,30.59273,5.53107,3.90639,0.68449
SVR_34,27.65024,5.25835,3.73893,0.70209
SVR_35,26.92516,5.18895,3.62879,0.71540
SVR_36,25.84488,5.08379,3.59535,0.74327
SVR_37,23.95427,4.89431,3.44631,0.73274
SVR_38,22.92106,4.78759,3.48468,0.74107
SVR_39,22.96139,4.79180,3.49469,0.73588
SVR_40,33.41583,5.78064,4.16983,0.67805
SVR_41,26.21309,5.11987,3.60912,0.71865
SVR_42,23.65319,4.86345,3.46842,0.75283
SVR_43,27.20692,5.21603,3.76151,0.71125
SVR_44,28.53550,5.34186,3.94894,0.71074
SVR_45,25.28197,5.02812,3.55554,0.74288
SVR_46,25.75667,5.07510,3.68672,0.73051
SVR_47,23.57799,4.85572,3.56289,0.73114
SVR_48,28.05616,5.29681,3.83809,0.70763
SVR_49,30.61223,5.53283,3.78083,0.69571
SVR_50,31.70820,5.63100,4.13459,0.70148
SVR_51,26.77863,5.17481,3.61806,0.72522
SVR_52,24.89719,4.98971,3.52988,0.73121
SVR_53,27.93041,5.28492,3.65815,0.70568
SVR_54,32.89084,5.73505,4.06926,0.67585
SVR_55,25.98948,5.09799,3.59311,0.69919
SVR_56,30.76625,5.54673,4.04349,0.70303
SVR_57,28.73481,5.36049,3.95324,0.71534
SVR_58,31.09982,5.57672,4.01388,0.69090
SVR_59,31.60635,5.62195,3.99750,0.68701
SVR_60,36.41108,6.03416,4.22308,0.63249
SVR_61,32.12478,5.66787,3.92659,0.69050
SVR_62,27.90952,5.28295,3.70616,0.71034
SVR_63,30.63134,5.53456,3.91619,0.68996
SVR_64,28.56073,5.34422,3.77841,0.70388
SVR_65,32.69401,5.71787,4.13852,0.68982
SVR_66,23.32117,4.82920,3.53981,0.72932
SVR_67,31.00677,5.56837,4.08197,0.69902
SVR_68,34.34769,5.86069,4.03697,0.68220
SVR_69,27.87574,5.27975,3.88643,0.71360
SVR_70,21.85283,4.67470,3.40206,0.76324
SVR_71,28.55291,5.34349,3.91482,0.69968
SVR_72,29.11600,5.39592,3.80006,0.69780
SVR_73,28.62272,5.35002,3.68962,0.69873
SVR_74,29.07291,5.39193,3.83993,0.70685
SVR_75,28.59555,5.34748,3.72612,0.71231
SVR_76,27.68865,5.26200,3.68646,0.69922
SVR_77,34.30285,5.85686,4.21691,0.68339
SVR_78,33.58641,5.79538,4.30161,0.66819
SVR_79,30.86653,5.55577,3.79390,0.69998
SVR_80,23.50998,4.84871,3.54488,0.75261
SVR_81,29.87128,5.46546,3.94113,0.69164
SVR_82,22.66330,4.76060,3.54913,0.76259
SVR_83,31.08052,5.57499,3.96803,0.68187
SVR_84,30.55405,5.52757,4.07640,0.67254
SVR_85,21.69326,4.65760,3.41325,0.74897
SVR_86,25.40027,5.03987,3.61417,0.71823
SVR_87,22.01620,4.69214,3.43685,0.75557
SVR_88,25.01305,5.00130,3.60621,0.74529
SVR_89,29.90886,5.46890,3.98015,0.71299
SVR_90,26.16505,5.11518,3.50704,0.71220
SVR_91,28.69757,5.35701,3.71955,0.70707
SVR_92,32.65106,5.71411,4.08864,0.68053
