train_label, mse, rmse, mae, r2
SVR_10,31.30079,5.59471,4.06395,0.69466
SVR_11,23.56256,4.85413,3.47620,0.73654
SVR_12,29.61215,5.44170,3.85126,0.70297
SVR_13,31.64789,5.62565,4.02424,0.67827
SVR_14,29.53167,5.43430,3.86520,0.68090
SVR_15,45.58985,6.75203,5.14546,0.61042
SVR_16,32.72756,5.72080,4.02437,0.68752
SVR_17,28.45840,5.33464,3.91997,0.70454
SVR_18,29.28555,5.41161,3.76612,0.67582
SVR_19,32.72326,5.72043,4.04287,0.66857
SVR_20,27.24197,5.21938,3.86757,0.70691
SVR_21,23.65540,4.86368,3.53969,0.74565
SVR_22,24.82406,4.98237,3.51060,0.72062
SVR_23,34.91286,5.90871,4.24490,0.67307
SVR_24,21.94220,4.68425,3.48232,0.76591
SVR_25,27.30765,5.22567,3.77900,0.72058
SVR_26,30.66184,5.53731,3.92021,0.70172
SVR_27,32.38413,5.69071,4.12065,0.69243
SVR_28,30.65689,5.53687,3.97002,0.69565
SVR_29,28.24052,5.31418,3.85463,0.69807
SVR_30,20.96654,4.57892,3.35807,0.75560
SVR_31,30.19746,5.49522,3.95364,0.70418
SVR_32,32.43347,5.69504,3.93293,0.67459
SVR_33,24.84272,4.98425,3.73140,0.73896
SVR_34,28.48781,5.33740,3.85792,0.71578
SVR_35,31.56254,5.61805,4.00179,0.65869
SVR_36,31.61276,5.62252,4.10583,0.65088
SVR_37,28.40257,5.32941,3.78821,0.69903
SVR_38,32.57068,5.70707,4.13364,0.67832
SVR_39,28.70593,5.35779,3.78003,0.69256
SVR_40,24.01998,4.90102,3.63564,0.73132
SVR_41,25.34513,5.03440,3.69439,0.73119
SVR_42,34.36683,5.86232,4.30417,0.65393
SVR_43,28.52742,5.34111,3.84301,0.70320
SVR_44,26.97377,5.19363,3.80524,0.70778
SVR_45,33.96337,5.82781,4.12239,0.67268
SVR_46,27.30996,5.22589,3.72948,0.69260
SVR_47,32.40538,5.69257,4.19745,0.65373
SVR_48,26.56137,5.15377,3.69400,0.71588
SVR_49,35.08643,5.92338,4.31549,0.65072
SVR_50,19.41210,4.40592,3.09478,0.75354
SVR_51,33.55627,5.79278,4.23359,0.64366
SVR_52,24.08342,4.90749,3.50972,0.73948
SVR_53,23.33938,4.83108,3.56234,0.74202
SVR_54,29.51997,5.43323,3.87149,0.69160
SVR_55,27.24050,5.21924,3.74547,0.71550
SVR_56,32.04181,5.66055,4.06159,0.70397
SVR_57,27.63762,5.25715,3.82723,0.71295
SVR_58,34.58576,5.88097,4.07580,0.67861
SVR_59,25.37408,5.03727,3.60746,0.72298
SVR_60,29.44202,5.42605,3.80710,0.68703
SVR_61,24.89384,4.98937,3.77505,0.72080
SVR_62,29.13795,5.39796,3.83974,0.70805
SVR_63,25.63458,5.06306,3.55162,0.71024
SVR_64,19.70254,4.43875,3.30437,0.76594
SVR_65,29.59776,5.44038,3.84347,0.70241
SVR_66,29.70541,5.45027,3.72748,0.70044
SVR_67,29.58703,5.43940,3.90248,0.67409
SVR_68,25.79242,5.07862,3.67855,0.73506
SVR_69,29.59998,5.44059,3.90398,0.71476
SVR_70,33.28277,5.76912,4.13240,0.66128
SVR_71,28.19987,5.31035,3.73113,0.71125
SVR_72,24.52654,4.95243,3.50407,0.72314
SVR_73,25.44604,5.04441,3.71408,0.73845
SVR_74,28.07183,5.29829,3.73399,0.71621
SVR_75,31.09370,5.57617,3.97996,0.70598
SVR_76,27.25672,5.22080,3.87566,0.72087
SVR_77,30.04113,5.48098,3.97705,0.70299
SVR_78,33.88317,5.82093,4.13475,0.66385
SVR_79,33.13163,5.75601,4.15153,0.68569
SVR_80,23.92871,4.89170,3.48033,0.73243
SVR_81,29.84894,5.46342,3.81583,0.68341
SVR_82,30.15711,5.49155,3.84077,0.66577
SVR_83,26.21747,5.12030,3.70649,0.71621
SVR_84,26.42328,5.14036,3.68701,0.73165
SVR_85,21.91179,4.68100,3.37761,0.75887
SVR_86,26.59227,5.15677,3.80287,0.71882
