train_label, mse, rmse, mae, r2
LinearRegression_0,11.60424,3.40650,2.42831,0.87569
LinearRegression_1,10.75744,3.27985,2.31849,0.88763
LinearRegression_2,8.53284,2.92110,2.07696,0.90269
LinearRegression_3,10.83281,3.29132,2.41642,0.86702
LinearRegression_4,8.08016,2.84256,2.00061,0.90974
LinearRegression_5,6.96179,2.63852,1.83935,0.93074
LinearRegression_6,8.50079,2.91561,2.01864,0.92192
LinearRegression_7,8.80972,2.96812,2.10933,0.90240
LinearRegression_8,12.32824,3.51116,2.53695,0.87183
LinearRegression_9,10.96926,3.31199,2.26373,0.90228
LinearRegression_10,10.46111,3.23436,2.28004,0.88962
LinearRegression_11,9.53025,3.08711,2.17571,0.89627
LinearRegression_12,9.00265,3.00044,2.03943,0.90003
LinearRegression_13,9.17940,3.02975,2.11678,0.89998
LinearRegression_14,12.21024,3.49432,2.49348,0.87098
LinearRegression_15,7.62919,2.76210,1.91100,0.92479
LinearRegression_16,11.82310,3.43847,2.38884,0.87781
LinearRegression_17,9.70092,3.11463,2.24389,0.90029
LinearRegression_18,6.85403,2.61802,1.79927,0.92497
LinearRegression_19,7.78044,2.78934,1.95791,0.91713
LinearRegression_20,8.58275,2.92963,2.05677,0.91010
LinearRegression_21,8.71770,2.95257,2.07314,0.91246
LinearRegression_22,8.63511,2.93855,2.06074,0.90748
LinearRegression_23,11.78813,3.43339,2.47180,0.86855
LinearRegression_24,8.83956,2.97314,2.07289,0.90689
LinearRegression_25,10.02861,3.16680,2.24076,0.89407
LinearRegression_26,11.35737,3.37007,2.36591,0.87392
LinearRegression_27,11.29874,3.36136,2.34795,0.87724
LinearRegression_28,9.85388,3.13909,2.20782,0.89586
LinearRegression_29,8.22709,2.86829,2.05265,0.89503
LinearRegression_30,7.02436,2.65035,1.84913,0.92411
LinearRegression_31,9.82486,3.13446,2.22834,0.89171
LinearRegression_32,6.58586,2.56629,1.77929,0.92285
LinearRegression_33,10.13380,3.18336,2.24522,0.89931
LinearRegression_34,9.85069,3.13858,2.12511,0.90667
LinearRegression_35,10.37680,3.22130,2.24345,0.88549
LinearRegression_36,7.31310,2.70427,1.85908,0.92581
LinearRegression_37,9.41836,3.06893,2.07240,0.90044
LinearRegression_38,9.16214,3.02690,2.07342,0.89884
LinearRegression_39,9.71909,3.11755,2.16374,0.89994
LinearRegression_40,13.41184,3.66222,2.59606,0.86604
LinearRegression_41,9.73937,3.12080,2.12706,0.90235
LinearRegression_42,11.39880,3.37621,2.37919,0.88393
LinearRegression_43,8.43614,2.90450,1.99132,0.91259
LinearRegression_44,8.20901,2.86514,2.06439,0.91692
LinearRegression_45,11.16578,3.34152,2.37140,0.89366
LinearRegression_46,8.11834,2.84927,2.01866,0.91721
LinearRegression_47,8.26600,2.87507,1.99936,0.91237
LinearRegression_48,10.92178,3.30481,2.29511,0.89335
