train_label, mse, rmse, mae, r2
LinearRegression_0,9.39075,3.06443,2.15668,0.90347
LinearRegression_1,9.45459,3.07483,2.20569,0.89064
LinearRegression_2,10.44714,3.23220,2.34090,0.89161
LinearRegression_3,8.79761,2.96608,2.09382,0.90203
LinearRegression_4,8.95414,2.99235,2.01571,0.91059
LinearRegression_5,8.64421,2.94010,2.04195,0.91027
LinearRegression_6,10.70951,3.27254,2.31630,0.88728
LinearRegression_7,11.06926,3.32705,2.32682,0.89055
LinearRegression_8,8.84772,2.97451,2.08989,0.90944
LinearRegression_9,9.44325,3.07299,2.12894,0.89346
LinearRegression_10,9.94460,3.15351,2.18727,0.90478
LinearRegression_11,12.25028,3.50004,2.47996,0.87781
LinearRegression_12,9.09730,3.01617,2.12058,0.90262
LinearRegression_13,10.38226,3.22215,2.20136,0.89058
LinearRegression_14,9.19230,3.03188,2.12014,0.90808
LinearRegression_15,9.52951,3.08699,2.18246,0.90919
LinearRegression_16,7.29683,2.70127,1.97873,0.91571
LinearRegression_17,8.97402,2.99567,2.07930,0.89810
LinearRegression_18,10.77698,3.28283,2.37127,0.89261
LinearRegression_19,8.79462,2.96557,2.02013,0.91049
LinearRegression_20,10.99569,3.31598,2.41322,0.87564
LinearRegression_21,9.76179,3.12439,2.12273,0.90171
LinearRegression_22,7.97355,2.82375,2.06082,0.90684
LinearRegression_23,9.72744,3.11888,2.14340,0.90387
LinearRegression_24,9.43281,3.07129,2.23230,0.89538
LinearRegression_25,10.29009,3.20782,2.27882,0.88570
LinearRegression_26,7.00093,2.64593,1.87469,0.92597
LinearRegression_27,9.47846,3.07871,2.13149,0.89884
LinearRegression_28,9.78120,3.12749,2.18848,0.88591
LinearRegression_29,8.80169,2.96676,2.05403,0.90341
LinearRegression_30,9.67733,3.11084,2.25837,0.89362
LinearRegression_31,9.11608,3.01928,2.12015,0.89793
LinearRegression_32,8.70454,2.95035,2.14181,0.91180
LinearRegression_33,11.04485,3.32338,2.38634,0.88827
LinearRegression_34,9.73150,3.11954,2.19990,0.90032
LinearRegression_35,9.80188,3.13080,2.28338,0.89058
LinearRegression_36,9.58316,3.09567,2.15218,0.89733
LinearRegression_37,10.43285,3.22999,2.30770,0.90120
LinearRegression_38,9.12046,3.02001,2.15072,0.90005
LinearRegression_39,9.09709,3.01614,2.13935,0.90157
LinearRegression_40,9.42622,3.07022,2.17462,0.89831
LinearRegression_41,9.07687,3.01278,2.11861,0.90715
LinearRegression_42,8.97046,2.99507,2.10389,0.89896
LinearRegression_43,9.33810,3.05583,2.04079,0.90422
LinearRegression_44,10.13121,3.18296,2.16367,0.90148
LinearRegression_45,10.77825,3.28302,2.33662,0.89629
LinearRegression_46,9.11227,3.01865,2.17473,0.87747
LinearRegression_47,11.51603,3.39353,2.40407,0.87638
LinearRegression_48,10.15569,3.18680,2.25123,0.89897
LinearRegression_49,9.35926,3.05929,2.22605,0.90024
LinearRegression_50,8.42487,2.90256,2.04579,0.91403
LinearRegression_51,8.77966,2.96305,2.09566,0.90342
LinearRegression_52,8.65499,2.94194,2.05329,0.90686
LinearRegression_53,9.95636,3.15537,2.28248,0.88356
