train_label, mse, rmse, mae, r2
SVR_10,31.44587,5.60766,3.91148,0.69478
SVR_11,24.62404,4.96226,3.50454,0.72179
SVR_12,26.58488,5.15605,3.82311,0.72428
SVR_13,25.62658,5.06227,3.67047,0.74090
SVR_14,31.26826,5.59180,3.98767,0.69181
SVR_15,31.63205,5.62424,3.96870,0.68166
SVR_16,23.97148,4.89607,3.57766,0.72153
SVR_17,29.03707,5.38861,3.89740,0.70662
SVR_18,27.72248,5.26521,3.78353,0.70404
SVR_19,31.24198,5.58945,3.96683,0.69712
SVR_20,28.82025,5.36845,3.81113,0.71655
SVR_21,22.83828,4.77894,3.53768,0.73886
SVR_22,26.48884,5.14673,3.59577,0.71015
SVR_23,24.51469,4.95123,3.65033,0.74123
SVR_24,29.21751,5.40532,3.96850,0.70761
SVR_25,23.62881,4.86095,3.50429,0.74236
SVR_26,27.97327,5.28898,3.72086,0.70961
SVR_27,29.75959,5.45524,3.90624,0.70584
SVR_28,23.88984,4.88772,3.50727,0.73458
SVR_29,24.84046,4.98402,3.70113,0.72338
SVR_30,28.24366,5.31448,3.81258,0.71017
SVR_31,30.20384,5.49580,3.92018,0.69925
SVR_32,21.32490,4.61789,3.36042,0.74593
SVR_33,24.88585,4.98857,3.62685,0.72680
SVR_34,32.25287,5.67916,3.95369,0.67733
SVR_35,29.30004,5.41295,3.97657,0.70639
SVR_36,23.50920,4.84863,3.48754,0.73367
SVR_37,27.14368,5.20996,3.82664,0.72779
SVR_38,25.22935,5.02288,3.59292,0.72851
SVR_39,27.14885,5.21046,3.65987,0.71590
SVR_40,19.50717,4.41669,3.34943,0.78866
SVR_41,20.76056,4.55638,3.32897,0.77522
SVR_42,28.58479,5.34647,3.94592,0.70939
SVR_43,21.04845,4.58786,3.32718,0.74311
SVR_44,28.77856,5.36456,3.75001,0.69844
SVR_45,37.41693,6.11694,4.36764,0.63865
SVR_46,26.89097,5.18565,3.84005,0.72855
SVR_47,27.09089,5.20489,3.79040,0.72349
SVR_48,28.95066,5.38058,3.78528,0.72026
SVR_49,24.98941,4.99894,3.70264,0.73393
SVR_50,24.56164,4.95597,3.50216,0.73072
SVR_51,17.84172,4.22395,3.03082,0.79135
SVR_52,26.45808,5.14374,3.76870,0.70780
SVR_53,27.12511,5.20818,3.72485,0.70386
SVR_54,33.04928,5.74885,4.20993,0.66786
SVR_55,25.72178,5.07166,3.77117,0.72520
SVR_56,24.14039,4.91329,3.45761,0.72380
SVR_57,24.56868,4.95668,3.54463,0.73342
SVR_58,27.14933,5.21050,3.82346,0.70525
SVR_59,31.67704,5.62824,4.08943,0.68171
SVR_60,34.43866,5.86845,4.18229,0.65887
SVR_61,24.83968,4.98394,3.73215,0.71962
SVR_62,38.89022,6.23620,4.52245,0.65451
SVR_63,22.71825,4.76637,3.45792,0.72623
SVR_64,27.13007,5.20865,3.67373,0.71572
SVR_65,28.88032,5.37404,3.80754,0.71346
SVR_66,30.30433,5.50494,3.98438,0.69966
SVR_67,23.15974,4.81246,3.41413,0.73611
SVR_68,27.76642,5.26939,3.95576,0.71711
SVR_69,26.21354,5.11992,3.57518,0.72723
SVR_70,27.34430,5.22918,3.83605,0.73417
SVR_71,29.80715,5.45959,3.90517,0.69700
SVR_72,30.73466,5.54388,3.80653,0.68087
SVR_73,31.42012,5.60537,3.98743,0.68382
SVR_74,32.44141,5.69574,4.17360,0.67040
SVR_75,33.06024,5.74980,3.99155,0.67574
SVR_76,29.64202,5.44445,4.00603,0.70645
SVR_77,24.81492,4.98146,3.65010,0.75243
SVR_78,23.86346,4.88502,3.58111,0.73339
SVR_79,28.31724,5.32139,3.87855,0.72683
SVR_80,25.06145,5.00614,3.35543,0.73485
SVR_81,25.62602,5.06222,3.65985,0.72391
SVR_82,29.42612,5.42459,3.98841,0.72288
SVR_83,26.05795,5.10470,3.66063,0.71503
SVR_84,31.90232,5.64821,4.07318,0.68114
SVR_85,26.40968,5.13904,3.83932,0.70879
SVR_86,28.29280,5.31910,3.84652,0.71343
SVR_87,31.01123,5.56877,3.92815,0.70568
SVR_88,26.42146,5.14018,3.95726,0.72535
SVR_89,22.26318,4.71839,3.38379,0.73278
SVR_90,23.37061,4.83432,3.57497,0.74542
SVR_91,24.41598,4.94125,3.60218,0.72136
SVR_92,22.16339,4.70780,3.48646,0.75156
SVR_93,25.22420,5.02237,3.64685,0.73733
SVR_94,29.66821,5.44685,3.77542,0.68266
SVR_95,28.33429,5.32300,3.78738,0.72262
SVR_96,21.06529,4.58969,3.52280,0.76565
SVR_97,30.67981,5.53894,3.98456,0.70288
SVR_98,30.40612,5.51417,4.01473,0.69310
SVR_99,32.42619,5.69440,3.88710,0.68006
GaussianProcessRegressor_0,2.07455,1.44033,0.82975,0.97700
GaussianProcessRegressor_1,1.53321,1.23823,0.75244,0.98028
GaussianProcessRegressor_2,2.35265,1.53383,0.86615,0.97526
GaussianProcessRegressor_3,1.83382,1.35419,0.78151,0.97910
GaussianProcessRegressor_4,1.39710,1.18199,0.69707,0.98303
GaussianProcessRegressor_5,2.29102,1.51361,0.91248,0.97810
