train_label, mse, rmse, mae, r2
LinearRegression_0,8.82146,2.97010,1.96521,0.91071
LinearRegression_1,7.59043,2.75507,1.92423,0.91844
LinearRegression_2,8.24881,2.87207,2.01439,0.90647
LinearRegression_3,9.44172,3.07274,2.29830,0.88604
LinearRegression_4,9.06780,3.01128,2.16723,0.90402
LinearRegression_5,11.54289,3.39748,2.43962,0.88950
LinearRegression_6,9.53457,3.08781,2.16723,0.90120
LinearRegression_7,10.42810,3.22926,2.22394,0.89053
LinearRegression_8,8.58257,2.92960,2.04209,0.90940
LinearRegression_9,9.15527,3.02577,2.20014,0.90590
LinearRegression_10,11.90429,3.45026,2.36519,0.88406
LinearRegression_11,10.61743,3.25844,2.37579,0.88347
LinearRegression_12,6.72028,2.59235,1.76973,0.92401
LinearRegression_13,9.62826,3.10294,2.17085,0.89070
LinearRegression_14,9.76039,3.12416,2.19734,0.89488
LinearRegression_15,9.94667,3.15383,2.24610,0.88747
LinearRegression_16,10.11003,3.17963,2.22179,0.90072
LinearRegression_17,9.84220,3.13723,2.19935,0.90150
LinearRegression_18,8.60423,2.93330,1.99539,0.90708
LinearRegression_19,9.24664,3.04083,2.09304,0.90498
LinearRegression_20,10.08065,3.17500,2.26080,0.88846
LinearRegression_21,9.86189,3.14036,2.23037,0.89456
LinearRegression_22,9.35873,3.05920,2.20553,0.88677
LinearRegression_23,11.05505,3.32491,2.34752,0.87460
LinearRegression_24,8.31601,2.88375,2.09031,0.91291
LinearRegression_25,10.43475,3.23029,2.30928,0.89378
LinearRegression_26,9.98201,3.15943,2.23495,0.89828
LinearRegression_27,9.62741,3.10281,2.17363,0.89812
LinearRegression_28,10.42536,3.22883,2.34376,0.88969
LinearRegression_29,9.55603,3.09128,2.14659,0.89875
LinearRegression_30,7.85247,2.80223,1.98541,0.91428
LinearRegression_31,8.77897,2.96293,2.02035,0.91075
LinearRegression_32,8.48141,2.91229,2.09015,0.91309
LinearRegression_33,7.31197,2.70407,1.80282,0.92150
LinearRegression_34,9.31048,3.05131,2.16872,0.89770
LinearRegression_35,8.38206,2.89518,2.09880,0.90902
LinearRegression_36,11.62839,3.41004,2.40675,0.87902
LinearRegression_37,7.42175,2.72429,2.02682,0.91911
LinearRegression_38,9.08132,3.01352,2.12576,0.90171
LinearRegression_39,10.80442,3.28701,2.32884,0.88035
LinearRegression_40,7.70905,2.77652,1.96388,0.91617
LinearRegression_41,10.29208,3.20813,2.25581,0.89840
LinearRegression_42,10.16860,3.18882,2.24505,0.89752
LinearRegression_43,9.55388,3.09094,2.14097,0.91136
LinearRegression_44,8.27219,2.87614,2.09521,0.89960
LinearRegression_45,10.58678,3.25373,2.29940,0.89263
LinearRegression_46,10.32451,3.21318,2.34375,0.89587
LinearRegression_47,7.24287,2.69126,1.94661,0.90615
LinearRegression_48,11.60644,3.40682,2.46645,0.87773
LinearRegression_49,10.93023,3.30609,2.29928,0.88017
LinearRegression_50,12.09536,3.47784,2.43248,0.88983
LinearRegression_51,7.98397,2.82559,2.01557,0.91500
LinearRegression_52,8.75404,2.95872,2.04862,0.90561
LinearRegression_53,7.10375,2.66529,1.80609,0.92449
LinearRegression_54,10.30161,3.20961,2.21300,0.89002
LinearRegression_55,9.98462,3.15985,2.24502,0.89028
LinearRegression_56,9.12219,3.02030,2.10936,0.89524
LinearRegression_57,11.70770,3.42165,2.36206,0.88805
LinearRegression_58,8.76950,2.96133,2.07546,0.91137
LinearRegression_59,8.90723,2.98450,2.07807,0.91506
LinearRegression_60,10.71549,3.27345,2.29292,0.89758
LinearRegression_61,8.46729,2.90986,2.06708,0.90414
LinearRegression_62,7.57515,2.75230,1.91244,0.93036
LinearRegression_63,9.26502,3.04385,2.22872,0.88531
LinearRegression_64,10.21835,3.19662,2.26865,0.89083
LinearRegression_65,10.72426,3.27479,2.35578,0.89243
LinearRegression_66,10.53731,3.24612,2.30958,0.88239
LinearRegression_67,7.53072,2.74422,2.02179,0.91271
LinearRegression_68,9.37361,3.06164,2.15437,0.89979
LinearRegression_69,12.38282,3.51892,2.45170,0.87876
LinearRegression_70,9.52073,3.08557,2.17591,0.90796
LinearRegression_71,11.24242,3.35297,2.37336,0.88987
LinearRegression_72,6.83967,2.61528,1.87443,0.91311
LinearRegression_73,10.11142,3.17985,2.26825,0.88670
LinearRegression_74,11.01473,3.31884,2.37276,0.88870
LinearRegression_75,9.56180,3.09222,2.21314,0.90615
LinearRegression_76,10.27980,3.20621,2.34463,0.87888
LinearRegression_77,9.42227,3.06957,2.23174,0.89218
LinearRegression_78,10.96701,3.31165,2.32738,0.88753
LinearRegression_79,9.36764,3.06066,2.15827,0.89768
LinearRegression_80,10.89748,3.30113,2.29635,0.88912
LinearRegression_81,7.50916,2.74028,1.96160,0.91530
